MATCHED_ON	TITLE	CGP#	OCLC_035	OCLC_019	RECTYPE	BIBLVL	RECFORM	AGENCY_CLASS	SUDOC	ITEM#	PURL
main_entry	Report of the committee to whom was referred the communication of the Speaker of the 3d inst. February 9, 1825. Read: Ordered that it lie upon the table.	001140034	1065738010		a	m	Online	Y	Y 1.1/2:122		https://purl.fdlp.gov/GPO/gpo166531;https://www.govinfo.gov/content/pkg/SERIALSET-00122_00_00-064-0064-0000/pdf/SERIALSET-00122_00_00-064-0064-0000.pdf
main_entry;subject_610;norm_title;notes	Purchase of the banking house of the Bank of Pennsylvania. June 3, 1858. -- Ordered to be printed.	001146844	1065799854		a	m	Online	Y	Y 1.1/2:968		https://purl.fdlp.gov/GPO/gpo170208;https://www.govinfo.gov/content/pkg/SERIALSET-00968_00_00-084-0541-0000/pdf/SERIALSET-00968_00_00-084-0541-0000.pdf
main_entry;varying_title;norm_title;subject_650	Disparate and punitive impact of exclusionary practices on students of color, students with disabilities and LGBTQ students in Pennsylvania public schools :	001166003	1302342886		a	m	Online	CR	CR 1.8/2-2:P 38/EX 2	0288-A-17 (online)	https://purl.fdlp.gov/GPO/gpo170968;https://www.usccr.gov/files/2021/04-09-Pennsylvania-Public-Schools.pdf
main_entry	Banking companies. March 3, 1837. Read, and laid upon the table.	001183817	1065787394		a	m	Online	Y	24-2:H.RP.306		https://purl.fdlp.gov/GPO/gpo197819;https://www.govinfo.gov/content/pkg/SERIALSET-00306_00_00-078-0306-0000/pdf/SERIALSET-00306_00_00-078-0306-0000.pdf
main_entry;varying_title;norm_title;subject_650	Affirmatively furthering fair housing, an analysis of fair housing access & zoning practices in Pennsylvania :	001251485	1412047014		a	m	Online	CR	CR 1.8/2-2:P 38/H 81	0288-A-17 (online)	https://purl.fdlp.gov/GPO/gpo220632;https://www.usccr.gov/files/2023-10/pa_advisory_committee_report.pdf
additional_creator_710;norm_title;subject_650	Sediment characteristics of five streams near Harrisburg, Pennsylvania, before highway construction 	000000811	1103274		a	m	Print	I	I 19.13:1798-M		
norm_title;subject_650	Characterization and evaluation of wastewater sources, United States Steel Corporation :	000002295	2237125		a	m	Print	EP	EP 1.2:ST 3/2		
norm_title;subject_650	Characterization and evaluation of wastewater sources, United States Steel Corporation :	000002296	2237123		a	m	Print	EP	EP 1.2:ST 3/3		
norm_title;subject_650	Characterization and evaluation of wastewater sources, United States Steel Corporation :	000002297	2237121		a	m	Print	EP	EP 1.2:ST 3/4		
norm_title;subject_650	Characterization and evaluation of wastewater sources, United States Steel Corporation :	000002298	2237130		a	m	Print	EP	EP 1.2:ST 3/5		
norm_title;subject_650	Characterization and evaluation of wastewater sources, United States Steel Corporation :	000002299	2237129		a	m	Print	EP	EP 1.2:ST 3/6		
norm_title	Proceedings of the 7th annual Eagleville Conference :	000002670	1959086		a	m	Print	HE	HE 20.8002:EA 3		
subject_650;additional_creator_710;norm_title;notes	Hydrology and sedimentation of Bixler Run Basin, central Pennsylvania 	000002742	1660568		a	m	Print	I	I 19.13:1798-N		
norm_title	Fort Necessity National Battlefield, Pennsylvania :	000002906	2153689		a	m	Print	I	I 29.20:F 77 N		
norm_title	Hopewell Village National Historic Site, Pennsylvania 	000002915	2133965		a	m	Print	I	I 29.21:H 77/2/975		
norm_title	Delaware Water Gap National Recreation Area, New Jersey and Pennsylvania.	000002924	2286214		a	m	Print	I	I 29.39:D 37/974		
subject_610;norm_title	Fire Island--Pennsylvania Avenue Development Corporation--101st Airborne Division--Vicksburg :	000003737	2166205		a	m	Print	Y	Y 4.IN 8/13:F 51/2		
norm_title	Nomination :	000003815	2195432		a	m	Print	Y	Y 4.L 11/2:N 72/5/975-11		
norm_title	Nomination :	000003816	2194573		a	m	Print	Y	Y 4.L 11/2:N 72/5/975-13		
norm_title	Nomination :	000003818	2197077		a	m	Print	Y	Y 4.L 11/2:N 72/5/975-9		
subject_650;varying_title;norm_title;notes	Flood plain information :	000004925	2338636		a	m	Print	D	D 103.47:W 25/2		
subject_610;norm_title	Three Mile Island Nuclear Station :	000005010	2329719		a	m	Print	ER	ER 1.11:FIND-50320-R1		
norm_title	Spring flow from pre-Pennsylvanian rocks in the southwestern part of the Navajo Indian Reservation, Arizona 	000005219	1207543		a	m	Print	I	I 19.16:521-F		
norm_title	Stratigraphy and geologic history of the Amsden Formation (Mississippian and Pennsylvanian) of Wyoming :	000005224	1177838		a	m	Print	I	I 19.16:848-A		
norm_title	Brachiopoda of the Amsden Formation (Mississippian and Pennsylvanian) of Wyoming 	000005225	1196062		a	m	Print	I	I 19.16:848-D		
norm_title	Paleotectonic investigations of the Pennsylvanian System in the United States 	000005226	1342367		a	m	Print	I	I 19.16:853/PT.1-3		
norm_title	Independence National Historical Park, Pennsylvania.	000005326	2314680		a	m	Print	I	I 29.21:IN 21/4/975		
norm_title;subject_650	Aircraft accident report :	000005619	2312928		a	m	Print	TD	TD 1.112:76-7		
norm_title	Authorizing the Secretary of the Interior to establish the Valley Forge National Historical Park in the Commonwealth of Pennsylvania, and for other purposes :	000005996	2300882		a	m	Print	Y	94-2:H.RP.1142		
norm_title;subject_650	Federal outlays in Pennsylvania;	000006454	1987009		a	s	Print	CSA	CSA 1.10:P 38/975		
norm_title;subject_650	Schuylkill oil spill II, June-October 1972, Pottstown, Pennsylvania area :	000006551	1254688		a	m	Print	EP	EP 2.11:OHM 74-03-001		
norm_title;subject_650	History and status of the East Street Valley Expressway, interstate highway 279, Pittsburgh, Pennsylvania :	000006612	2410658		a	m	Print	GA	GA 1.13:RED-76-118		
norm_title	Changes and choices at the United Nations :	000006990	2392606		a	m	Print	S	S 1.106:L 58/2		
norm_title	Public Law 94-337 :	000007372	2382663		a	m	Print	Y	94-2:PUB.LAW 337		
subject_610;norm_title	Amendment to the fiscal year 1977 budget for the Pennsylvania Avenue Development Corporation :	000007430	2381044		a	m	Print	Y	94-2:S.DOC.222		
subject_651;varying_title;norm_title	Estimates of the population of Pennsylvania counties and metropolitan areas :	000007660	2459251	49522317	a	m	Print	C	C 3.186:P-26/75-38	0142-C	
norm_title;subject_650	Statistical analysis of blood lead levels of children surveyed in Pittsburgh, Pennsylvania :	000007674	2437746		a	m	Print	C	C 13.58:76-1024		
norm_title	Tioga outlet works, Tioga and Hammond Lakes, Susquehanna River Basin, Pennsylvania :	000007870	2390037		a	m	Print	D	D 103.24/2:H-76-5		
norm_title	Connecting channel for Tioga and Hammond Lakes, Tioga River and Crooked Creek, Pennsylvania :	000007871	2462117		a	m	Print	D	D 103.24/2:H-76-6		
norm_title;subject_650	Implementation plan review for Pennsylvania as required by the Energy supply and environmental coordination act.	000007958	2487886		a	m	Print	EP	EP 1.58:450/3-75-019		
norm_title	Standards for occupational exposures to hot environments :	000008203	2126508		a	m	Print	HE	HE 20.7102:EN 8		
norm_title	United Nations :	000008640	2457832		a	m	Print	Y	Y 4.F 76/2:UN 35/31		
subject_650;norm_title;notes	Special flood hazard information report :	000010307	2548899		a	m	Print	D	D 103.47:C 58/3		
norm_title	Deshler-Morris House :	000010728	2595063		a	m	Print	I	I 29.21:D 45/976		
subject_610;norm_title	Amending the Pennsylvania Avenue Development Corporation act of 1972 (Public Law 92-578), as amended :	000011130	2101779		a	m	Print	Y	94-2:H.RP.894/PT.2		
subject_610;varying_title;norm_title	Public Law 94-388 :	000011216	2558205		a	m	Print	Y	94-2:PUB.LAW 388		
norm_title;subject_650	Proposals to establish national cemeteries in Alabama and Pennsylvania, changing criteria for burial in Arlington National Cemetery :	000012600	2638719		a	m	Print	Y	Y 4.V 64/3:C 33/15	1027	
norm_title	Memorial services held in the House of Representatives and Senate of the United States, together with remarks presented in eulogy of William A. Barrett, late a Representative from Pennsylvania.	000012618	2604930		a	m	Print	Y	Y 7.1:B 27/2		
subject_650;norm_title;notes	Evaluation of Bacillus thuringiensis and a parasitoid for suppression of the gypsy moth in Pennsylvania 	000013071	2709153		a	m	Print	A	A 13.93:G 99		
norm_title;subject_650	Wyoming Valley, Pennsylvania :	000013234	2668670		a	m	Print	D	D 103.22:W 99/2		
norm_title;subject_650	Wyoming Valley, Pennsylvania :	000014242	2668685		a	m	Print	Y	94-2:H.DOC.482		
varying_title;norm_title	I've been to the party :	000014449	2692511		a	m	Print	Y	94-2:S.DOC.267		
additional_creator_710;norm_title;subject_650	Economic analysis of the taxicab industry in Pennsylvania : demand and cost 	000015223	1173228		a	m	Print	TD	TD 1.20:75-15		
norm_title;subject_650	Performance of ponderosa pine on bituminous mine spoils in Pennsylvania 	000016673	2792835		a	m	Print	A	A 13.78:NE-358	83-B	
norm_title;subject_650	Water resources development in Pennsylvania, 1975.	000016927	2557784		a	m	Print	D	D 103.35:P 38/975		
norm_title;subject_650	Problems of the elderly in Pennsylvania :	000018916	2661341		a	m	Print	Y	Y 4.AG 4/2:P 38/2/PT.2	1009	
norm_title	Tributes to the Honorable Hugh Scott of Pennsylvania :	000019238	2899719		a	m	Print	Y	94-2:S.DOC.271		
subject_650;additional_creator_710;norm_title;notes	Soil survey of Armstrong County, Pennsylvania 	000019703	2996657		a	m	Print	A	A 57.38:AR 5/3	102 (Rev. 1957)	
norm_title;subject_650	School desegregation in Erie, Pennsylvania :	000020145	3014568		a	m	Print	CR	CR 1.2:D 45/5	288-A	
norm_title	Bell of Pennsylvania, Westchester Work Center.	000020652	3076197		a	m	Print	ER	ER 1.2:B 41	474-A-1	
norm_title;subject_650	Environmental geology, Allegheny County and vicinity, Pennsylvania :	000021355	2647723		a	m	Print	I	I 19.4/2:747	620-A	
norm_title;subject_650	Methods of determining the orientations of bedrock fracture systems in southwestern Pennsylvania and northern West Virginia 	000021394	2972952		a	m	Print	I	I 28.23:8217	637-A	
norm_title;subject_650	Roof rock structures and related roof support problems in the Pittsburgh coalbeds of southwestern Pennsylvania 	000021407	3027726		a	m	Print	I	I 28.23:8230	637-A	
norm_title	Analysis of multispectral data using computer techniques :	000022126	3039745		a	m	Print	TD	TD 2.30:75-13	982-G-11	
norm_title	Analysis of multispectral data using computer techniques :	000022141	3039788		a	m	Print	TD	TD 2.30:77-34	982-G-11	
norm_title;subject_650	Northeast Corridor Rail Passenger Service Improvement Program :	000022151	2905170		a	m	Print	TD	TD 3.2:N 81/7		
varying_title;norm_title;subject_650	Flood insurance study :	000023648	3125984		a	m	Print	HH	HH 10.9:EA 7 P/3	594-A	
varying_title;norm_title;subject_650	Flood insurance study :	000023677	3126041		a	m	Print	HH	HH 10.9:M 46	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000023682	3127446		a	m	Print	HH	HH 10.9:P 85	594-A-2	
norm_title	Municipal government wage surveys :	000023782	3145036		a	m	Print	L	L 2.105:P 54/ADV.		
varying_title;norm_title;subject_650	Flood insurance study :	000024967	3177101		a	m	Print	HH	HH 10.9:AB 1/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000024973	3181809		a	m	Print	HH	HH 10.9:AN 7	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000024986	3196778		a	m	Print	HH	HH 10.9:B 62	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000024991	3180480		a	m	Print	HH	HH 10.9:B 76	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000024993	3182567		a	m	Print	HH	HH 10.9:B 86	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025000	3179341		a	m	Print	HH	HH 10.9:C 59/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025002	3176427		a	m	Print	HH	HH 10.9:C 62/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025005	3181934		a	m	Print	HH	HH 10.9:C 76	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025010	3182947		a	m	Print	HH	HH 10.9:C 86/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025013	3183009		a	m	Print	HH	HH 10.9:D 24	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025015	3182174		a	m	Print	HH	HH 10.9:D 26	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025017	3180250		a	m	Print	HH	HH 10.9:D 44/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025020	3197006		a	m	Print	HH	HH 10.9:D 74	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025021	3181895		a	m	Print	HH	HH 10.9:D 85	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025024	3194928		a	m	Print	HH	HH 10.9:EA 7 B	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025025	3181844		a	m	Print	HH	HH 10.9:EA 7 B/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025026	3179313		a	m	Print	HH	HH 10.9:EA 7 G	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025027	3180339		a	m	Print	HH	HH 10.9:EA 7 N	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025030	3197334		a	m	Print	HH	HH-10.9:EA 7 P/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025031	3183295		a	m	Print	HH	HH 10.9:EA 7 R	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025032	3196957		a	m	Print	HH	HH 10.9:EA 7/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025034	3192647		a	m	Print	HH	HH 10.9:ED 3	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025038	3176630		a	m	Print	HH	HH 10.9:EM 6	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025043	3193868		a	m	Print	HH	HH 10.9:F 62	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025045	3176407		a	m	Print	HH	HH 10.9:F 69	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025046	3192589		a	m	Print	HH	HH 10.9:F 77 F	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025049	3179076		a	m	Print	HH	HH 10.9:F 83 C	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025050	3196896		a	m	Print	HH	HH 10.9:F 85	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025052	3182779		a	m	Print	HH	HH 10.9:F 87/3	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025053	3182315		a	m	Print	HH	HH 10.9:G 35	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025059	3175546		a	m	Print	HH	HH 10.9:G 91	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025060	3178306		a	m	Print	HH	HH 10.9:G 91/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025062	3181787		a	m	Print	HH	HH 10.9:H 19	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025063	3182253		a	m	Print	HH	HH 10.9:H 19/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025065	3180544		a	m	Print	HH	HH 10.9:H 24/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025067	3179033		a	m	Print	HH	HH 10.9:H 29/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025068	3179142		a	m	Print	HH	HH 10.9:H 53/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025074	3180123		a	m	Print	HH	HH 10.9:H 87	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025076	3178362		a	m	Print	HH	HH 10.9:J 56	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025078	3182632		a	m	Print	HH	HH 10.9:K 61	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025080	3197159		a	m	Print	HH	HH 10.9:K 64	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025084	3182746		a	m	Print	HH	HH 10.9:L 23	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025086	3178333		a	m	Print	HH	HH 10.9:L 52	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025087	3177213		a	m	Print	HH	HH 10.9:L 61	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025090	3182359		a	m	Print	HH	HH 10.9:L 95 A	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025091	3177148		a	m	Print	HH	HH 10.9:L 95 A/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025092	3179410		a	m	Print	HH	HH 10.9:L 95 F	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025093	3181545		a	m	Print	HH	HH 10.9:L 95 G	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025094	3182526		a	m	Print	HH	HH 10.9:L 95 M	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025095	3179558		a	m	Print	HH	HH 10.9:L 95 M/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025096	3181865		a	m	Print	HH	HH 10.9:L 95 S	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025097	3197030		a	m	Print	HH	HH 10.9:L 95 SW	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025100	3177070		a	m	Print	HH	HH 10.9:M 19/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025102	3182005		a	m	Print	HH	HH 10.9:M 27	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025105	3197080		a	m	Print	HH	HH 10.9:M 31/3	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025108	3182134		a	m	Print	HH	HH 10.9:M 32	549-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025111	3192567		a	m	Print	HH	HH 10.9:M 34	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025122	3176479		a	m	Print	HH	HH 10.9:M 76/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025124	3177036		a	m	Print	HH	HH 10.9:M 83	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025125	3182545		a	m	Print	HH	HH 10.9:M 86 P	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025126	3176513		a	m	Print	HH	HH 10.9:M 86/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025127	3176028		a	m	Print	HH	HH 10.9:M 89	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025130	3197087		a	m	Print	HH	HH 10.9:N 15	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025132	3175476		a	m	Print	HH	HH 10.9:N 42 B	594-c-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025136	3175900		a	m	Print	HH	HH 10.9:N 42 P	594-C-47	
varying_title;norm_title;subject_650	Flood insurance study :	000025138	3179300		a	m	Print	HH	HH 10.9:N 81	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025140	3176993		a	m	Print	HH	HH 10.9:N 81 W	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025143	3191427		a	m	Print	HH	HH 10.9:OI 5 C	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025152	3194886		a	m	Print	HH	HH 10.9:P 18/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025154	3176885		a	m	Print	HH	HH 10.9:P 23	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025158	3197484		a	m	Print	HH	HH 10.9:P 41	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025161	3193817		a	m	Print	HH	HH 10.9:P 65 C	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025164	3181763		a	m	Print	HH	HH 10.9:P 74/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025166	3181698		a	m	Print	HH	HH 10.9:P 75	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025169	3176943		a	m	Print	HH	HH 10.9:P 85/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025170	3192096		a	m	Print	HH	HH 10.9:P 93	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025173	3182210		a	m	Print	HH	HH 10.9:Q 2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025174	3179523		a	m	Print	HH	HH 10.9:R 11	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025176	3181969		a	m	Print	HH	HH 10.9:R 31	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025181	3176549		a	m	Print	HH	HH 10.9:R 53 S	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025185	3194383		a	m	Print	HH	HH 10.9:R 81	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025187	3179301		a	m	Print	HH	HH 10.9:SA 2 C/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025192	3179484		a	m	Print	HH	HH 10.9:SA 3/3	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025198	3194043		a	m	Print	HH	HH 10.9:SA 9	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025204	3176620		a	m	Print	HH	HH 10.9:SH 6/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025207	3194138		a	m	Print	HH	HH 10.9:SM 5/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025209	3180093		a	m	Print	HH	HH 10.9:SO 4	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025210	3191716		a	m	Print	HH	HH 10.9:SO 8 H	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025212	3192634		a	m	Print	HH	HH 10.9:SO 8 W	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025213	3180400		a	m	Print	HH	HH 10.9:SP 8/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025214	3192674		a	m	Print	HH	HH 10.9:ST 3	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025217	3194013		a	m	Print	HH	HH 10.9:ST 8/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025221	3190719		a	m	Print	HH	HH 10.9:SU 7/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025222	3179710		a	m	Print	HH	HH 10.9:SU 8/2	594-A-2	
varying_title;norm_title;subject_650	Flood insurance study :	000025223	3176294		a	m	Print	HH	HH 10.9:SU 8/3	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025225	3176700		a	m	Print	HH	HH 10.9:T 24/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025230	3176773		a	m	Print	HH	HH 10.9:T 68		
varying_title;norm_title;subject_650	Flood insurance study :	000025234	3179461		a	m	Print	HH	HH 10.9:UN 3/4	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025243	3176849		a	m	Print	HH	HH 10.9:W 52 C/2	594-C-41	
varying_title;norm_title;subject_650	Flood insurance study :	000025244	3200157		a	m	Print	HH	HH 10.9:W 52 G	594-C-41	
